# City name -> IANA time zone, sorted by name for binary search.
# Generated by scripts/cities.py from GeoNames cities15000 (https://www.geonames.org),
# licensed under CC BY 4.0. Do not edit by hand.
'abasan al kabirah	Asia/Gaza
'afak	Asia/Baghdad
'ain abid	Africa/Algiers
'ain azel	Africa/Algiers
'ain benian	Africa/Algiers
'ain deheb	Africa/Algiers
'ain el bell	Africa/Algiers
'ain el berd	Africa/Algiers
'ain el hammam	Africa/Algiers
'ain el melh	Africa/Algiers
'ain el turk	Africa/Algiers
'ain merane	Africa/Algiers
'ajlun	Asia/Amman
'akra	Asia/Baghdad
'alem ketema	Africa/Addis_Ababa
'alem t'ena	Africa/Addis_Ababa
'alemaya	Africa/Addis_Ababa
'ali abad e katul	Asia/Tehran
'ali al gharbi	Asia/Baghdad
'ali shahr	Asia/Tehran
'alī ābād e katūl	Asia/Tehran
'amman	Asia/Amman
'amran	Asia/Aden
'amuda	Asia/Damascus
'anah	Asia/Baghdad
'anat al qadimah	Asia/Baghdad
'anbarabad	Asia/Tehran
'aqrah	Asia/Baghdad
'ar'ara banegev	Asia/Jerusalem
'ardamata	Africa/Khartoum
'atarut	Asia/Hebron
'ayn al 'arab	Asia/Damascus
'azimabad	Asia/Kolkata
'ewa beach	Pacific/Honolulu
'ewa beach iroquois point	Pacific/Honolulu
'ewa gentry	Pacific/Honolulu
'ewa gentry west loch	Pacific/Honolulu
'eyn e do	Asia/Tehran
'ibri	Asia/Muscat
'inak	Asia/Riyadh
'irqah	Asia/Riyadh
'izbat 'ali as sayyid	Africa/Cairo
's gravenzande	Europe/Amsterdam
's hertogenbosch	Europe/Amsterdam
'uyun al jiwa'	Asia/Riyadh
'ākra	Asia/Baghdad
'ārdamatā	Africa/Khartoum
6th of october city	Africa/Cairo
`afrin	Asia/Damascus
`anjarah	Asia/Amman
`ara `ar`ara	Asia/Jerusalem
`irbin	Asia/Damascus
`izbat al burj	Africa/Cairo
`izra	Asia/Amman
a ba	Africa/Lagos
a bei ao ku ta	Africa/Lagos
a bi rang	Africa/Abidjan
a bi ren	Africa/Abidjan
a bu gu	Africa/Lagos
a bu jia	Africa/Lagos
a bu kui ji	America/Denver
a bu zha bi	Asia/Dubai
a coruna	Europe/Madrid
a coruña	Europe/Madrid
a da na	Europe/Istanbul
a de lai de	Australia/Adelaide
a di si a bei ba	Africa/Addis_Ababa
a er ji er	Africa/Algiers
a estrada	Europe/Madrid
a ge la	Asia/Kolkata
a gua si ka lian te si	America/Mexico_City
a habana	America/Havana
a jia di er	Africa/Casablanca
a jie mei er	Asia/Kolkata
a k'o su	Asia/Urumqi
a k'o su chen	Asia/Urumqi
a k'o su hsien	Asia/Urumqi
a k'o su hsin ch'eng	Asia/Urumqi
a ka pu er ke	America/Mexico_City
a ke la	Africa/Accra
a ke su	Asia/Urumqi
a ke su shi	Asia/Urumqi
a ke tuo bi	Asia/Aqtobe
a ku lei	Africa/Lagos
a la ka ru	America/Maceio
a la mu tu	Asia/Almaty
a lei ge li gang	America/Sao_Paulo
a lei ji pa	America/Lima
a lei po	Asia/Damascus
a lu sha	Africa/Dar_es_Salaam
a meca	Asia/Riyadh
a mei da ba de	Asia/Kolkata
a mu li ze	Asia/Kolkata
a mu si te dan	Europe/Amsterdam
a muong	Asia/Shanghai
a na ning de wa	America/Belem
a pa lei xi da di ge ya ni ya	America/Sao_Paulo
a paz	America/La_Paz
a pu that pi	Asia/Dubai
a shen ha ba de	Asia/Ashgabat
a si ma la	Africa/Asmara
a si ta na	Asia/Almaty
a si te la han	Europe/Astrakhan
a wa	Asia/Kolkata
a wa shi	Asia/Tehran
a yun pa	Asia/Ho_Chi_Minh
a'orangabada	Asia/Kolkata
a'urangabada	Asia/Kolkata
aaalkhrtwm	Africa/Khartoum
aabenraa	Europe/Copenhagen
aachen	Europe/Berlin
aakra	Africa/Accra
aalaahmadi	Asia/Kuwait
aalborg	Europe/Copenhagen
aalen	Europe/Berlin
aalsmeer	Europe/Amsterdam
aalst	Europe/Brussels
aalten	Europe/Amsterdam
aalter	Europe/Brussels
aamritsar	Asia/Kolkata
aarau	Europe/Zurich
aarsal	Asia/Beirut
aarschot	Europe/Brussels
aarsâl	Asia/Beirut
ab pakhsh	Asia/Tehran
aba	Africa/Lagos
aba abya	Africa/Lagos
aba i nigeria	Africa/Lagos
abadan	Africa/Lagos
abadeh	Asia/Tehran
abadia de goias	America/Sao_Paulo
abadia de goiás	America/Sao_Paulo
abaete	America/Sao_Paulo
abaetetuba	America/Belem
abaeté	America/Sao_Paulo
abajeu	Asia/Tehran
abajy	America/Bogota
abakaliki	Africa/Lagos
abakan	Asia/Krasnoyarsk
abala	Africa/Addis_Ababa
abalak	Africa/Niamey
abana	America/Havana
abancay	America/Lima
abano terme	Europe/Rome
abare	America/Bahia
abarkuh	Asia/Tehran
abarkūh	Asia/Tehran
abaré	America/Bahia
abashiri	Asia/Tokyo
abasolo	America/Mexico_City
abay	Asia/Almaty
abaza	Asia/Krasnoyarsk
abba	Africa/Bangui
abbeville	Europe/Paris
